1220485125,1.0
1226728826,1.0.1
1227072445,1.0.2
1248840959,1.0.3
1255122407,1.0.4
1248846663,1.1
1255122369,1.1.1
1273815912,1.1.2
1293076297,1.1.3
1297220797,1.1.4
1274117509,1.2
1274728230,1.2.1
1283992653,1.2.2
1284187773,1.2.3
1293076327,1.2.4
1297220758,1.2.5
1315618896,1.2.6
1315702918,1.2.7
1300856791,1.3
1315618334,1.3.1
1343682055,1.3.2
1343851604,1.3.3
1350512752,1.3.4
1355175483,1.3.5
1361305112,1.3.6
1361389948,1.3.7
1332521603,1.4
1343681025,1.4.1
1383747446,1.4.10
1398119906,1.4.11
1398716895,1.4.12
1400083791,1.4.13
1408564840,1.4.14
1350512257,1.4.2
1355175904,1.4.3
1361305043,1.4.4
1361390007,1.4.5
1376410687,1.4.6
1378862138,1.4.7
1379224958,1.4.8
1382675846,1.4.9
1361906918,1.5
1364501559,1.5.1
1376410637,1.5.2
1378862727,1.5.3
1379226571,1.5.4
1382675511,1.5.5
1398120711,1.5.6
1398717275,1.5.7
1400084870,1.5.8
1408565382,1.5.9
1351193453,1.5a1
1354054150,1.5b1
1355176188,1.5b2
1357325398,1.5c1
1361304933,1.5c2
1383749980,1.6
1386877712,1.6.1
1391722686,1.6.2
1398121857,1.6.3
1398717548,1.6.4
1400085453,1.6.5
1408565695,1.6.6
1369625187,1.6a1
1372425310,1.6b1
1376410627,1.6b2
1378863134,1.6b3
1379226963,1.6b4
1382496972,1.6c1
1390448917,1.7a1
1391723667,1.7a2
1395362531,1.7b1
1398122515,1.7b2
1398717973,1.7b3
1400085954,1.7b4
1403832075,1.7c1
1406464384,1.7c2
1408566335,1.7c3
